iter	Passed	Remaining
0	3870	3866133
1	3927	1959944
2	3969	1319210
3	4011	998892
4	4053	806678
5	4097	678766
6	4140	587417
7	4184	518876
8	4229	465686
9	4270	422806
10	4314	387890
11	4360	358980
12	4407	334599
13	4452	313586
14	4496	295293
15	4542	279368
16	4586	265230
17	4630	252636
18	4663	240759
19	4707	230670
20	4752	221535
21	4794	213136
22	4843	205759
23	4902	199365
24	4951	193107
25	5000	187326
26	5045	181813
27	5087	176594
28	5126	171648
29	5189	167802
30	5251	164159
31	5306	160529
32	5358	157021
33	5410	153728
34	5459	150534
35	5521	147859
36	5561	144752
37	5607	141951
38	5644	139075
39	5694	136669
40	5764	134840
41	5815	132637
42	5858	130390
43	5909	128403
44	5964	126588
45	6018	124817
46	6063	122940
47	6107	121133
48	6157	119515
49	6202	117844
50	6251	116327
51	6297	114803
52	6344	113366
53	6389	111942
54	6435	110581
55	6478	109204
56	6525	107950
57	6570	106719
58	6614	105499
59	6653	104236
60	6696	103083
61	6733	101864
62	6778	100812
63	6815	99677
64	6852	98571
65	6901	97672
66	6947	96742
67	6992	95838
68	7036	94941
69	7079	94055
70	7129	93291
71	7178	92524
72	7224	91737
73	7276	91059
74	7321	90292
75	7361	89506
76	7406	88779
77	7456	88140
78	7501	87451
79	7555	86888
80	7604	86279
81	7647	85616
82	7696	85031
83	7749	84510
84	7807	84049
85	7862	83565
86	7904	82953
87	7960	82503
88	8010	81991
89	8049	81384
90	8099	80904
91	8143	80371
92	8186	79842
93	8231	79333
94	8276	78843
95	8331	78459
96	8378	78001
97	8433	77625
98	8488	77254
99	8537	76834
100	8593	76494
101	8652	76178
102	8705	75817
103	8752	75406
104	8798	74996
105	8871	74819
106	8923	74471
107	8975	74133
108	9023	73762
109	9061	73315
110	9115	73007
111	9162	72644
112	9193	72165
113	9240	71815
114	9268	71330
115	9310	70954
116	9357	70620
117	9406	70310
118	9452	69979
119	9497	69647
120	9543	69330
121	9584	68973
122	9625	68628
123	9668	68303
124	9712	67988
125	9760	67703
126	9804	67394
127	9847	67084
128	9900	66847
129	9932	66472
130	9983	66223
131	10029	65951
132	10071	65654
133	10120	65405
134	10165	65132
135	10217	64908
136	10261	64638
137	10290	64276
138	10340	64053
139	10384	63788
140	10430	63547
141	10476	63304
142	10509	62986
143	10556	62750
144	10600	62506
145	10652	62309
146	10695	62060
147	10739	61822
148	10764	61482
149	10811	61263
150	10859	61058
151	10899	60809
152	10938	60553
153	10987	60358
154	11036	60165
155	11078	59937
156	11114	59676
157	11161	59480
158	11207	59277
159	11249	59061
160	11274	58753
161	11300	58458
162	11345	58257
163	11375	57986
164	11398	57681
165	11422	57389
166	11452	57127
167	11494	56926
168	11542	56754
169	11584	56558
170	11623	56351
171	11657	56117
172	11698	55924
173	11731	55692
174	11786	55566
175	11811	55297
176	11851	55105
177	11893	54922
178	11913	54644
179	11934	54367
180	11978	54200
181	12021	54028
182	12057	53830
183	12077	53561
184	12123	53410
185	12167	53249
186	12210	53088
187	12255	52931
188	12284	52712
189	12320	52523
190	12363	52365
191	12387	52130
192	12429	51972
193	12478	51842
194	12499	51601
195	12540	51441
196	12560	51197
197	12581	50962
198	12626	50824
199	12661	50646
200	12707	50514
201	12745	50350
202	12788	50208
203	12848	50134
204	12873	49922
205	12895	49704
206	12935	49556
207	12980	49424
208	13002	49211
209	13026	49004
210	13066	48860
211	13113	48743
212	13135	48531
213	13154	48316
214	13174	48103
215	13224	48001
216	13270	47884
217	13291	47678
218	13333	47548
219	13380	47441
220	13403	47245
221	13455	47156
222	13478	46962
223	13499	46766
224	13522	46576
225	13571	46479
226	13614	46360
227	13642	46194
228	13666	46012
229	13707	45888
230	13753	45784
231	13776	45604
232	13819	45492
233	13840	45306
234	13860	45120
235	13903	45010
236	13929	44846
237	13969	44724
238	13989	44543
239	14011	44370
240	14033	44198
241	14072	44078
242	14093	43904
243	14114	43732
244	14154	43619
245	14177	43453
246	14213	43331
247	14238	43175
248	14261	43013
249	14297	42893
250	14333	42772
251	14354	42606
252	14380	42460
253	14402	42299
254	14423	42137
255	14443	41976
256	14475	41849
257	14496	41692
258	14526	41561
259	14585	41512
260	14607	41358
261	14627	41201
262	14646	41044
263	14688	40949
264	14708	40794
265	14729	40644
266	14753	40503
267	14773	40352
268	14793	40202
269	14835	40111
270	14860	39975
271	14880	39827
272	14900	39679
273	14945	39598
274	15002	39551
275	15050	39480
276	15071	39337
277	15095	39205
278	15136	39116
279	15157	38975
280	15180	38843
281	15204	38713
282	15224	38572
283	15245	38435
284	15280	38334
285	15322	38253
286	15362	38166
287	15402	38078
288	15450	38010
289	15475	37888
290	15519	37811
291	15555	37716
292	15588	37615
293	15613	37493
294	15655	37413
295	15700	37340
296	15746	37273
297	15770	37151
298	15810	37068
299	15845	36972
300	15890	36900
301	15937	36834
302	15965	36725
303	15991	36612
304	16047	36567
305	16091	36495
306	16138	36429
307	16170	36332
308	16209	36249
309	16259	36191
310	16297	36105
311	16327	36004
312	16374	35940
313	16401	35831
314	16432	35734
315	16476	35663
316	16522	35599
317	16570	35538
318	16614	35467
319	16646	35373
320	16692	35308
321	16718	35201
322	16753	35115
323	16805	35064
324	16831	34958
325	16866	34871
326	16915	34813
327	16945	34718
328	16988	34647
329	17033	34583
330	17079	34519
331	17109	34424
332	17137	34326
333	17200	34298
334	17234	34212
335	17268	34126
336	17314	34062
337	17349	33979
338	17391	33911
339	17441	33856
340	17484	33788
341	17526	33721
342	17558	33631
343	17589	33542
344	17611	33435
345	17637	33337
346	17666	33246
347	17712	33184
348	17743	33096
349	17778	33018
350	17806	32924
351	17837	32837
352	17869	32751
353	17901	32666
354	17932	32582
355	17995	32554
356	18040	32493
357	18078	32420
358	18106	32330
359	18153	32272
360	18182	32184
361	18217	32107
362	18261	32046
363	18305	31984
364	18350	31924
365	18377	31833
366	18423	31775
367	18449	31685
368	18500	31635
369	18539	31567
370	18587	31513
371	18623	31440
372	18658	31364
373	18704	31307
374	18742	31238
375	18790	31184
376	18815	31092
377	18858	31031
378	18887	30947
379	18911	30856
380	18937	30767
381	18984	30713
382	19008	30621
383	19026	30521
384	19077	30474
385	19098	30379
386	19142	30320
387	19182	30256
388	19203	30162
389	19242	30097
390	19272	30017
391	19297	29931
392	19324	29847
393	19358	29775
394	19378	29680
395	19421	29622
396	19446	29536
397	19493	29484
398	19517	29398
399	19537	29306
400	19559	29217
401	19594	29147
402	19618	29063
403	19648	28986
404	19669	28897
405	19691	28809
406	19715	28726
407	19750	28657
408	19795	28604
409	19818	28519
410	19863	28465
411	19909	28415
412	19952	28358
413	19974	28273
414	20003	28197
415	20030	28120
416	20055	28038
417	20096	27981
418	20139	27926
419	20159	27839
420	20188	27765
421	20231	27710
422	20272	27653
423	20316	27600
424	20342	27522
425	20370	27447
426	20400	27376
427	20430	27304
428	20451	27221
429	20495	27168
430	20529	27102
431	20572	27049
432	20603	26979
433	20638	26915
434	20681	26862
435	20727	26812
436	20756	26741
437	20781	26665
438	20813	26598
439	20849	26535
440	20880	26467
441	20908	26395
442	20934	26321
443	20955	26241
444	20985	26173
445	21012	26100
446	21057	26051
447	21077	25970
448	21097	25890
