iter	Logloss
0	0.6805508695
5	0.6297256164
10	0.5927427651
15	0.5665782515
20	0.5469407098
25	0.5326648241
30	0.522183883
35	0.5138530782
40	0.506728761
45	0.5010404437
50	0.4966522829
55	0.4927020593
60	0.4895138092
65	0.4863803861
70	0.4840043652
75	0.4818290716
80	0.4801394934
85	0.4788020582
90	0.477462234
95	0.4763447848
100	0.4755288691
105	0.4745463786
110	0.4736626001
115	0.4725070169
120	0.4715062114
125	0.4708963612
130	0.4702352527
135	0.4697418987
140	0.4692629372
145	0.4685050336
150	0.4679268586
155	0.4674058109
160	0.4670327282
165	0.4666444862
170	0.4662487825
175	0.4660764861
180	0.4657531871
185	0.4653841744
190	0.46510246
195	0.4647210308
200	0.4643603056
205	0.4639085953
210	0.4636689965
215	0.4635428267
220	0.4633633931
225	0.4630829764
230	0.4629622333
235	0.4628236766
240	0.4625519897
245	0.4622982345
250	0.4622116144
255	0.4621675818
260	0.462021062
265	0.4618792611
270	0.4618444007
275	0.4617677492
280	0.4616470355
285	0.4615899082
290	0.4615210132
295	0.4614958559
300	0.4614504666
305	0.4612683492
310	0.4611687818
315	0.4610725766
320	0.4610064539
325	0.4609640434
330	0.4609426612
335	0.460882732
340	0.4607699224
345	0.4607255654
350	0.4606542815
355	0.4606298911
360	0.4605967118
365	0.4605914031
370	0.4605817
375	0.4605753296
380	0.4605654495
385	0.4605561298
390	0.4605395844
395	0.4604709549
400	0.4603063266
405	0.4602460435
410	0.4602395846
415	0.4601869991
420	0.4601752315
425	0.4600683204
430	0.4599807861
435	0.4599481082
440	0.4599173768
445	0.4599144865
450	0.4599121566
455	0.4598613111
460	0.4598347972
465	0.4597981083
470	0.4596874221
475	0.4595952574
480	0.4595632284
485	0.4595151257
490	0.4594633071
495	0.4594397719
500	0.4593884546
505	0.4593516772
